,Balance,Age,Total_Tx_Count,Total_Deposits,Total_Withdrawals,Loan_to_Balance_Ratio,Is_Overdue
Balance,1.0,0.06085109822418963,-0.02799149393828795,-0.05823931596200345,0.05218408361267428,-0.12385030785751239,-0.05888832198532568
Age,0.06085109822418963,1.0,0.07154120360761887,0.07142708053683133,0.027317349257519566,0.06177907950871525,0.02232396501501568
Total_Tx_Count,-0.02799149393828795,0.07154120360761887,1.0,0.6492174682707111,0.6193940201697479,-0.038022144699939205,0.003931967604899171
Total_Deposits,-0.05823931596200345,0.07142708053683133,0.6492174682707111,1.0,0.20654234803988092,0.0013816444851193687,-0.09937783961970043
Total_Withdrawals,0.05218408361267428,0.027317349257519566,0.6193940201697479,0.20654234803988092,1.0,0.003746213889926517,-0.01873012730639037
Loan_to_Balance_Ratio,-0.12385030785751239,0.06177907950871525,-0.038022144699939205,0.0013816444851193687,0.003746213889926517,1.0,0.0038975986458679524
Is_Overdue,-0.05888832198532568,0.02232396501501568,0.003931967604899171,-0.09937783961970043,-0.01873012730639037,0.0038975986458679524,1.0
